# finding_id	entity_id	entity_kind	entity_file	finding_type	claim_locator
CV914-0061	BMA-MSH2-GERMLINE-ENDOMETRIAL	BMA	bma_msh2_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:145
CV914-0062	BMA-MSH2-SOMATIC-ENDOMETRIAL	BMA	bma_msh2_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:148
CV914-0063	BMA-MSH2-SOMATIC-ENDOMETRIAL	BMA	bma_msh2_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:149
CV914-0064	BMA-MSH2-SOMATIC-ENDOMETRIAL	BMA	bma_msh2_somatic_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:150
CV914-0065	BMA-MSH2-SOMATIC-ENDOMETRIAL	BMA	bma_msh2_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:151
CV914-0066	BMA-MSH2-SOMATIC-ENDOMETRIAL	BMA	bma_msh2_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:152
CV914-0067	BMA-MSH6-GERMLINE-ENDOMETRIAL	BMA	bma_msh6_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:155
CV914-0068	BMA-MSH6-GERMLINE-ENDOMETRIAL	BMA	bma_msh6_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:156
CV914-0069	BMA-MSH6-GERMLINE-ENDOMETRIAL	BMA	bma_msh6_germline_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:157
CV914-0070	BMA-MSH6-GERMLINE-ENDOMETRIAL	BMA	bma_msh6_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:158
CV914-0071	BMA-MSH6-GERMLINE-ENDOMETRIAL	BMA	bma_msh6_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:159
CV914-0072	BMA-MSH6-SOMATIC-ENDOMETRIAL	BMA	bma_msh6_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:162
CV914-0073	BMA-MSH6-SOMATIC-ENDOMETRIAL	BMA	bma_msh6_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:163
CV914-0074	BMA-MSH6-SOMATIC-ENDOMETRIAL	BMA	bma_msh6_somatic_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:164
CV914-0075	BMA-MSH6-SOMATIC-ENDOMETRIAL	BMA	bma_msh6_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:165
CV914-0076	BMA-MSH6-SOMATIC-ENDOMETRIAL	BMA	bma_msh6_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:166
CV914-0077	BMA-NOTCH1-ACTIVATING-CLL	BMA	bma_notch1_activating_cll.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:169
CV914-0078	BMA-NOTCH1-ACTIVATING-CLL	BMA	bma_notch1_activating_cll.yaml	level-mismatch	docs/reviews/citation-verification-2026-04-27.md:170
CV914-0079	BMA-NOTCH1-ACTIVATING-CLL	BMA	bma_notch1_activating_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:171
CV914-0080	BMA-NOTCH1-ACTIVATING-CLL	BMA	bma_notch1_activating_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:172
CV914-0081	BMA-NOTCH1-ACTIVATING-CLL	BMA	bma_notch1_activating_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:173
CV914-0082	BMA-PMS2-GERMLINE-ENDOMETRIAL	BMA	bma_pms2_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:176
CV914-0083	BMA-PMS2-GERMLINE-ENDOMETRIAL	BMA	bma_pms2_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:177
CV914-0084	BMA-PMS2-GERMLINE-ENDOMETRIAL	BMA	bma_pms2_germline_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:178
CV914-0085	BMA-PMS2-GERMLINE-ENDOMETRIAL	BMA	bma_pms2_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:179
CV914-0086	BMA-PMS2-GERMLINE-ENDOMETRIAL	BMA	bma_pms2_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:180
CV914-0087	BMA-PMS2-SOMATIC-ENDOMETRIAL	BMA	bma_pms2_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:183
CV914-0088	BMA-PMS2-SOMATIC-ENDOMETRIAL	BMA	bma_pms2_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:184
CV914-0089	BMA-PMS2-SOMATIC-ENDOMETRIAL	BMA	bma_pms2_somatic_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:185
CV914-0090	BMA-PMS2-SOMATIC-ENDOMETRIAL	BMA	bma_pms2_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:186
CV914-0091	BMA-PMS2-SOMATIC-ENDOMETRIAL	BMA	bma_pms2_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:187
CV914-0092	BMA-RAD51B-GERMLINE-OVARIAN	BMA	bma_rad51b_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:190
CV914-0093	BMA-RAD51B-GERMLINE-OVARIAN	BMA	bma_rad51b_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:191
CV914-0094	BMA-RAD51B-GERMLINE-OVARIAN	BMA	bma_rad51b_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:192
CV914-0095	BMA-RAD51B-GERMLINE-OVARIAN	BMA	bma_rad51b_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:193
CV914-0096	BMA-RAD51B-GERMLINE-OVARIAN	BMA	bma_rad51b_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:194
CV914-0097	BMA-RAD51C-GERMLINE-OVARIAN	BMA	bma_rad51c_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:197
CV914-0098	BMA-RAD51C-GERMLINE-OVARIAN	BMA	bma_rad51c_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:198
CV914-0099	BMA-RAD51C-GERMLINE-OVARIAN	BMA	bma_rad51c_germline_ovarian.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:199
CV914-0100	BMA-RAD51C-GERMLINE-OVARIAN	BMA	bma_rad51c_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:200
CV914-0101	BMA-RAD51C-GERMLINE-OVARIAN	BMA	bma_rad51c_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:201
CV914-0102	BMA-RAD51D-GERMLINE-OVARIAN	BMA	bma_rad51d_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:204
CV914-0103	BMA-RAD51D-GERMLINE-OVARIAN	BMA	bma_rad51d_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:205
CV914-0104	BMA-RAD51D-GERMLINE-OVARIAN	BMA	bma_rad51d_germline_ovarian.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:206
CV914-0105	BMA-RAD51D-GERMLINE-OVARIAN	BMA	bma_rad51d_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:207
CV914-0106	BMA-RAD51D-GERMLINE-OVARIAN	BMA	bma_rad51d_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:208
CV914-0107	IND-OVARIAN-MAINT-BEV	Indication	ind_ovarian_maint_bev.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:211
CV914-0108	IND-OVARIAN-MAINT-BEV	Indication	ind_ovarian_maint_bev.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:212
CV914-0109	IND-OVARIAN-MAINT-BEV	Indication	ind_ovarian_maint_bev.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:213
CV914-0110	IND-OVARIAN-MAINT-BEV	Indication	ind_ovarian_maint_bev.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:214
CV914-0111	IND-OVARIAN-MAINT-BEV	Indication	ind_ovarian_maint_bev.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:215
CV914-0112	BMA-ALK-FUSION-ALCL	BMA	bma_alk_fusion_alcl.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:218
CV914-0113	BMA-ALK-FUSION-ALCL	BMA	bma_alk_fusion_alcl.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:219
CV914-0114	BMA-ALK-FUSION-ALCL	BMA	bma_alk_fusion_alcl.yaml	level-mismatch	docs/reviews/citation-verification-2026-04-27.md:220
CV914-0115	BMA-ALK-FUSION-ALCL	BMA	bma_alk_fusion_alcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:221
CV914-0116	BMA-ALK-FUSION-NSCLC	BMA	bma_alk_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:224
CV914-0117	BMA-ALK-FUSION-NSCLC	BMA	bma_alk_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:225
CV914-0118	BMA-ALK-FUSION-NSCLC	BMA	bma_alk_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:226
CV914-0119	BMA-ALK-FUSION-NSCLC	BMA	bma_alk_fusion_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:227
CV914-0120	BMA-BCL2-EXPRESSION-CLL	BMA	bma_bcl2_expression_cll.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:230
CV914-0121	BMA-BCL2-EXPRESSION-CLL	BMA	bma_bcl2_expression_cll.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:231
CV914-0122	BMA-BCL2-EXPRESSION-CLL	BMA	bma_bcl2_expression_cll.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:232
CV914-0123	BMA-BCL2-EXPRESSION-CLL	BMA	bma_bcl2_expression_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:233
CV914-0124	BMA-BRCA1-GERMLINE-BREAST	BMA	bma_brca1_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:236
CV914-0125	BMA-BRCA1-GERMLINE-BREAST	BMA	bma_brca1_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:237
CV914-0126	BMA-BRCA1-GERMLINE-BREAST	BMA	bma_brca1_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:238
CV914-0127	BMA-BRCA1-GERMLINE-BREAST	BMA	bma_brca1_germline_breast.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:239
CV914-0128	BMA-BRCA2-GERMLINE-OVARIAN	BMA	bma_brca2_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:242
CV914-0129	BMA-BRCA2-GERMLINE-OVARIAN	BMA	bma_brca2_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:243
CV914-0130	BMA-BRCA2-GERMLINE-OVARIAN	BMA	bma_brca2_germline_ovarian.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:244
CV914-0131	BMA-BRCA2-GERMLINE-OVARIAN	BMA	bma_brca2_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:245
CV914-0132	BMA-CCND1-T1114-MCL	BMA	bma_ccnd1_t1114_mcl.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:248
CV914-0133	BMA-CCND1-T1114-MCL	BMA	bma_ccnd1_t1114_mcl.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:249
CV914-0134	BMA-CCND1-T1114-MCL	BMA	bma_ccnd1_t1114_mcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:250
CV914-0135	BMA-CCND1-T1114-MCL	BMA	bma_ccnd1_t1114_mcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:251
CV914-0136	BMA-FGFR2-MUTATION-ENDOMETRIAL	BMA	bma_fgfr2_mutation_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:254
CV914-0137	BMA-FGFR2-MUTATION-ENDOMETRIAL	BMA	bma_fgfr2_mutation_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:255
CV914-0138	BMA-FGFR2-MUTATION-ENDOMETRIAL	BMA	bma_fgfr2_mutation_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:256
CV914-0139	BMA-FGFR2-MUTATION-ENDOMETRIAL	BMA	bma_fgfr2_mutation_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:257
CV914-0140	BMA-FLT3-ITD-AML	BMA	bma_flt3_itd_aml.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:260
CV914-0141	BMA-FLT3-ITD-AML	BMA	bma_flt3_itd_aml.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:261
CV914-0142	BMA-FLT3-ITD-AML	BMA	bma_flt3_itd_aml.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:262
CV914-0143	BMA-FLT3-ITD-AML	BMA	bma_flt3_itd_aml.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:263
CV914-0144	BMA-KRAS-G12C-PDAC	BMA	bma_kras_g12c_pdac.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:266
CV914-0145	BMA-KRAS-G12C-PDAC	BMA	bma_kras_g12c_pdac.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:267
CV914-0146	BMA-KRAS-G12C-PDAC	BMA	bma_kras_g12c_pdac.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:268
CV914-0147	BMA-KRAS-G12C-PDAC	BMA	bma_kras_g12c_pdac.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:269
CV914-0148	BMA-PALB2-GERMLINE-OVARIAN	BMA	bma_palb2_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:272
CV914-0149	BMA-PALB2-GERMLINE-OVARIAN	BMA	bma_palb2_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:273
CV914-0150	BMA-PALB2-GERMLINE-OVARIAN	BMA	bma_palb2_germline_ovarian.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:274
CV914-0151	BMA-PALB2-GERMLINE-OVARIAN	BMA	bma_palb2_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:275
CV914-0152	BMA-RET-FUSION-NSCLC	BMA	bma_ret_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:278
CV914-0153	BMA-RET-FUSION-NSCLC	BMA	bma_ret_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:279
CV914-0154	BMA-RET-FUSION-NSCLC	BMA	bma_ret_fusion_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:280
CV914-0155	BMA-RET-FUSION-NSCLC	BMA	bma_ret_fusion_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:281
CV914-0156	BMA-RET-KIF5B-NSCLC	BMA	bma_ret_kif5b_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:284
CV914-0157	BMA-RET-KIF5B-NSCLC	BMA	bma_ret_kif5b_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:285
CV914-0158	BMA-RET-KIF5B-NSCLC	BMA	bma_ret_kif5b_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:286
CV914-0159	BMA-RET-KIF5B-NSCLC	BMA	bma_ret_kif5b_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:287
CV914-0160	BMA-TP53-MUT-MCL	BMA	bma_tp53_mut_mcl.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:290
CV914-0161	BMA-TP53-MUT-MCL	BMA	bma_tp53_mut_mcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:291
CV914-0162	BMA-TP53-MUT-MCL	BMA	bma_tp53_mut_mcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:292
CV914-0163	BMA-TP53-MUT-MCL	BMA	bma_tp53_mut_mcl.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:293
